Year,"Consumer Price Index, All items",Food and non-alcoholic beverages,"Alcoholic Beverages, Tobacco, and Narcotics",Clothing and footwear,"Housing, Water, Electricity, Gas and Other Fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services
Jan-95,89.48,96.16,83.85,83.28,75.63,87.05,79.06,87.28,99.81,84.3,90.16,87.66,88.24
Feb-95,92.54,99.87,85.76,85.22,77,90.28,82.12,89.93,99.85,90.19,91.53,92.18,90.34
Mar-95,95.34,99.18,87.1,88.31,96.97,93.76,86.12,91.61,99.86,94.06,93.73,93.9,93.99
Apr-95,96.05,98.32,90.25,91.6,97.31,95.96,91.01,93.54,99.94,93.9,94.41,96.67,95.09
May-95,97.27,98.37,91.25,95.56,97.9,97.97,97.6,95.7,99.94,95.95,97.29,97.38,97.51
Jun-95,97.73,96.3,94.13,99,98.9,98.62,100.86,101.22,99.92,97.9,100.8,98.07,99.72
Jul-95,98.75,95.49,106.26,100.02,100.2,100.37,103.63,104.07,99.99,99.91,101.61,98.74,100.99
Aug-95,99.4,95.11,108.99,102.13,100.92,101.95,107.6,104.87,99.99,101.91,102.05,98.72,102.67
Sep-95,104.13,100.14,110.95,106.96,112.28,105.15,109.28,106.3,100.1,106.66,103.82,101.88,105.92
Oct-95,106.87,103.14,111.51,112.05,113.43,107.38,111.82,107.26,100.14,109.32,104.68,109.78,106.81
Nov-95,109.69,106.89,114.38,115.98,114.04,108.97,114.77,108.55,100.22,111.64,106.04,111.67,108.74
Dec-95,112.75,111.02,115.58,119.89,115.43,112.53,116.13,109.66,100.25,114.26,113.88,113.36,109.97
Jan-96,117.34,116.11,116.8,121.17,118.79,113.57,166.08,111.61,100.26,115.62,118.95,117.25,110.37
Feb-96,118.2,117.47,117.01,121.99,119.62,114.68,119.37,114.73,155.79,120.42,122.21,119.68,111.83
Mar-96,120.3,118.83,118.62,123.87,121.02,117.38,123.37,120.39,155.9,122.84,123.64,123.02,114.29
Apr-96,123.98,121.14,123.38,126.58,133.14,120.09,127.29,126.85,155.94,121.64,125.1,125.28,116.45
May-96,138.52,132.81,142.72,139.42,151.65,140.45,133.85,151.17,156.49,146.59,132.53,135.29,128.23
Jun-96,164.4,160.08,180.95,151.86,161.12,169.6,144.1,209.64,157.47,170.85,140.18,152.27,151.65
Jul-96,202.13,191.1,233.3,166.86,266.3,205.1,172.66,247.04,222.87,200.26,146,171.63,176.15
Aug-96,237.69,236.36,243.82,185.81,320.43,230.25,205.13,282.5,223.98,219.87,151.93,185.56,197.1
