Category,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09
"Consumer Price Index, All items",99.37,99.4,99.81,99.98,100.06,99.96,99.98,100.12,100.18,100.3,100.34,100.52,100.99,101.49,102.48,103.14,103.63,103.52,103.61,103.89,104.05,103.84,103.75,103.49,103.95,104.41,105.2,105.52,105.39,105.24,105.07,105.65,106.12,106.08,105.58,105.29,105.61,106.47,106.75,106.64,106.83,107.08,107.13,107.26,107.38,107.1,106.89,106.88,107.27,107.67,108.36,108.72,109.1,109.3,109.26,109.08,109.16,108.89,108.3,107.68,107.18,107.64,108.28,108.5,109.06,109.44,109.45,109.29,109.12,109.07,108.84,108.47,108.65,108.74,109.21,109.72,110.17,110.53,110.35,110.45,110.72,110.86,110.68,110.72,111.37,111.72,111.81,112.14,112.23,112.34,112.26,112.59,113.19,113.12,113.12,113.06,113.67,114.19,114.45,114.9,115.38,115.56,115.57,115.63,115.77,115.97,115.58,115.22,115.43,115.92,116.58,117.19,117.44,117.47,117.66,117.66,117.75,118.02,117.96,117.85,118.31,118.63,118.37,117.58,117.58,118.23,118.82,119.2,119.36,119.41,119.34,119.45,119.96,120.62,121.47,122.47,123.45,124.6,125.2,125.46,125.8
Food and non-alcoholic beverages,99.49,99.49,99.87,99.95,99.95,99.84,99.82,99.78,100.16,100.33,100.59,100.74,101.58,102.27,103.41,103.83,104.39,104.65,105.26,105.87,106.53,106.56,106.54,106.76,107,106.85,107.05,107.21,107.18,107.36,107.33,107.42,107.39,107.68,107.9,108.13,108.28,108.2,108.22,108.31,108.04,108.33,108.37,108.45,108.44,108.52,108.49,108.57,109.3,109.65,110.06,110.58,111.24,111.06,111.38,111.81,112.21,112.46,112.2,112.6,112.93,112.82,112.2,112.07,111.93,112.16,112.39,112.75,113.07,113.22,112.5,112.09,112.41,112.43,111.61,111.75,111.15,110.72,110.61,110.56,110.58,110.59,110.02,109.79,110.23,110.48,110.64,110.9,110.97,110.66,110.96,110.92,111.05,111.25,110.7,110.78,111.38,111.08,111.06,111.51,111.13,111.07,111.37,111.47,111.52,111.41,111.15,111.44,112.11,112.42,112.65,112.33,112.46,112.11,112.09,112,112.18,112.55,112.25,112.25,112.91,113.34,113.86,116.9,117.89,118.47,117.3,117.2,116.75,117.02,116.3,116.68,117.09,117.37,117.61,118.33,118.69,119.57,120.31,120.69,122.03
"Alcoholic Beverages, Tobacco, and Narcotics",98.43,98.48,98.5,98.46,99.21,99.8,101,101.16,101.28,101.25,101.02,101.41,101.65,102,101.98,101.76,101.53,101.75,101.95,102.27,102.68,102.81,102.76,102.93,103.73,103.67,103.46,103.4,103.36,103.64,104.33,104.09,104.23,104.14,104.14,104.52,105.11,105.27,105.21,105.53,105.52,105.57,106.51,106.77,106.74,106.77,106.62,107.11,107.75,107.64,107.71,107.59,107.77,108.19,107.99,108.43,108.32,108.59,108.92,109.14,109.18,109.36,109.44,109.16,109.37,109.71,110.17,110.44,110.34,110.95,111.02,111.23,111.88,112.06,112.08,111.98,111.95,112.38,112.3,112.66,112.9,113.34,113.28,113.72,114.19,114.12,114.41,116.87,116.52,116.47,116.69,116.66,117.12,118.34,118.44,118.18,118.41,118.61,118.45,119.21,119.08,119.25,119.27,119.29,119.73,120.95,121.21,121.08,121.48,122.04,122.64,122.57,122.96,123.09,123.81,124.13,124.26,124.68,124.88,124.6,125.13,125.8,126.92,127.09,126.97,127.45,128.1,128.17,128.34,128.87,129.4,129.49,130.78,131.29,131.87,132.06,132.32,132.97,133.35,133.63,134.22
Clothing and footwear,98.11,100.35,102.46,102.34,101.57,99.48,96.92,97.27,100.46,101.48,100.93,98.62,97.73,99.52,101.59,102.07,102,100.87,99.03,100.42,103.73,104.99,105.15,102.48,101.07,102.5,106.06,107.09,106.69,104.37,101.75,102.51,107.16,109.37,108.17,104.92,103.86,105.59,107.32,107.67,106.75,105.15,103.2,104.61,108.21,109.42,108.03,105.76,103.86,104.98,107.83,108.51,107.98,106.49,104.14,105.1,109,110.45,108.2,104.08,102.71,104.41,107.55,107.92,106.76,104.86,102.72,104.35,107.72,108.62,106.82,103.36,102.28,104.99,106.87,107.25,106.97,105.08,102.96,104.38,107.51,109.15,106.91,103.18,103.22,105.55,107.53,107.34,106,104.53,102.66,103.94,107.14,108.34,105.13,101.42,102.66,106.19,107.89,108.64,107.75,105.44,103.04,102.77,107.12,108.4,105.24,101.8,103.13,106.05,106.21,105.78,104.81,104.01,102.71,104.18,107.2,106.4,103.91,100.95,102.06,105.08,104.65,100.29,97.19,97.2,96.65,98.42,100.91,100.88,98.92,97.17,99.6,101.64,101.99,101.89,102.05,101.59,100.5,102.32,104.27
"Housing, Water, Electricity, Gas and Other Fuels",99.8,99.73,99.77,99.7,99.76,100.15,100.29,100.32,100.23,100,100.01,100.22,100.45,100.65,100.8,100.87,101.12,101.58,101.88,102.1,102.21,102.03,102.06,102.21,102.43,102.46,102.58,102.68,102.78,103.22,103.36,103.67,103.86,103.8,103.96,104.15,104.46,104.67,104.76,104.95,105.34,105.88,106.06,106.28,106.51,106.4,106.56,106.88,107.47,107.75,108.18,108.03,108.47,109.06,109.34,109.49,109.64,109.49,109.61,109.89,110.2,110.39,110.47,110.58,110.8,111.55,111.76,112.02,112.25,112.15,112.28,112.44,112.76,112.95,113.15,113.37,113.85,114.54,114.96,115.33,115.74,115.82,116.07,116.41,116.84,117.13,117.25,117.5,117.9,118.56,118.85,119.24,119.51,119.58,119.86,120.27,120.63,120.94,121.13,121.35,121.72,122.24,122.54,122.94,123.06,123.28,123.61,124.04,124.3,124.52,124.83,125.13,125.41,126,126.32,126.61,126.88,127.07,127.36,127.66,128.13,128.31,128.45,128.54,128.8,129.21,129.48,129.66,129.89,130.07,130.23,130.47,130.72,131.11,131.35,131.66,132.1,132.76,133.2,133.7,134.35
"Furnishings, household equipment and routine household maintenance",101.43,101.23,101.08,100.42,100.36,100.04,99.72,99.53,99.25,99.26,98.92,98.76,99.11,99.23,99.27,99.39,99.62,99.65,99.63,99.79,99.74,99.93,99.79,99.86,100.22,100.57,100.54,100.55,100.33,100.44,100.49,100.17,100.02,100.01,100.1,99.84,99.96,100.09,99.87,99.76,99.85,99.9,99.35,99.08,98.95,98.87,98.5,98.29,98.53,98.3,98.26,98.26,98.11,98.25,97.97,97.55,97.42,97.92,97.5,97.15,97.2,97.3,97.51,98.04,97.75,97.6,97.28,96.78,96.98,96.93,96.58,96.63,96.87,96.77,96.73,96.55,96.31,96.11,96.03,95.59,95.65,95.93,95.3,95.18,95.83,95.92,95.93,95.79,95.58,95.48,95.1,94.9,94.78,94.8,94.24,94.28,95.27,95.48,95.54,96.11,95.71,95.6,95.63,95.42,95.65,96.17,95.96,96.32,97.17,97.43,97.46,97.06,97.03,97.72,97.79,97.28,97.65,97.77,97.43,97.17,97.77,98.15,97.93,98.3,98.72,99.17,99.4,100.03,99.95,99.82,100.02,100.13,100.51,100.56,100.93,101.79,103.08,103.08,103.05,103.99,105.22
Health,98.24,99.12,99.49,99.69,99.76,99.92,99.89,100.09,100.68,100.89,101.05,101.18,101.71,102.58,102.8,103.11,103.24,103.27,103.46,103.6,103.74,104.13,104.41,104.53,105.04,105.56,105.72,105.9,106.16,106.53,106.84,106.89,107.09,107.17,107.24,107.24,107.75,108.39,108.63,108.56,108.31,108.67,108.82,109.34,109.66,109.72,109.67,109.53,110.24,111.08,111.27,111.49,111.75,111.92,112.1,112.1,112.35,112.48,112.87,113.22,113.56,114.08,114.41,115.08,115.22,114.98,115.12,115.07,115.21,115.86,116.14,116,116.74,117.74,117.78,118.12,118.4,118.59,119.08,120.15,120.38,120.42,120.47,120.52,121.15,121.89,121.94,121.68,121.69,121.94,122.42,122.63,122.54,122.73,122.8,123,123.86,124.37,124.69,124.73,124.97,125.29,125.07,124.81,124.75,124.72,124.95,124.87,125.39,125.44,125.52,125.54,125.72,125.65,125.94,126.5,126.38,127.28,127.39,127.72,128.09,128.31,128.52,128.72,129.12,129.36,129.69,129.66,129.75,129.45,129.4,129.32,130.32,131,131.3,131.41,131.42,131.34,131.82,132.25,132.3
Transport,98.45,97.7,99.3,100.48,100.97,99.61,99.81,100.06,99.37,100.35,101.07,102.83,104.47,105.83,110.9,114.6,116.72,114.5,114.09,114,113.42,111.31,110.69,108.91,110.29,112.59,116.52,117.85,116.37,113.6,112.27,115.13,116.7,115.5,111.84,110.1,110.33,114.75,115.77,114.26,114.78,115.14,114.88,114.39,113.67,111.53,110.14,110.07,110.36,111.07,113.36,115.4,116.2,116.27,115.22,113.01,111.85,109.32,105.7,101.29,95.8,97.54,100.79,101.28,105.01,105.99,105.37,103.01,99.43,98.25,97.1,95.28,94.41,92.68,94.96,97.3,99.06,100.05,98.13,96.88,96.95,97.25,96.53,96.89,98.55,98.34,98.74,100.17,99.89,99.14,98.04,98.59,101,99.49,100.19,99.43,100.54,101.45,101.72,103.42,105.32,105.62,105.26,104.93,104.24,104.68,102.61,99.56,98.42,99.31,102.03,105.17,105.96,104.61,104.81,103.47,102.47,103.01,102.58,101.81,101.75,101.39,99.11,94.55,94.33,96,97.77,98.6,99.25,99.61,99.29,99.56,100.68,102.38,105.87,109.44,113.31,117.57,118.65,118.12,117.17
Communication,100.1,100.04,100.06,100.11,100.11,100.05,100.12,100.12,100.1,99.95,99.86,99.38,99.27,99.29,99.31,99.22,99.1,99.16,98.99,99.03,99.06,99.15,99.06,99.16,99.54,99.74,99.85,100.02,100.14,100.08,99.59,99.11,99.13,99.26,99.29,99.35,99.71,100.19,100.36,99.82,99.78,99.64,99.57,99.56,99.75,99.84,99.77,99.75,100.1,100.01,100.06,100.21,100.14,100.08,100.13,100.09,100.01,99.12,98.72,98.49,98.52,98.42,98.21,98.16,97.65,97.61,97.53,97.69,97.92,98.18,98.48,98.44,98.73,98.37,98.48,98.36,97.98,97.77,97.45,97.52,96.67,96.21,96.43,96.36,96.35,95.96,92.53,91.93,91.68,91.28,90.85,90.81,90.89,91.05,91.33,91.5,91.5,91.1,90.94,90.8,91.09,91.36,91.56,91.24,91.3,91.1,90.12,90.05,90.21,90.29,90.04,90.26,90.26,90.47,90.5,90.51,90.49,90.66,91.23,91.38,91.78,91.68,91.49,91.63,91.63,91.43,93.25,93.61,93.82,93.94,93.89,93.81,93.89,93.98,93.92,94.04,94.11,94.15,94.13,94.46,94.76
Recreation and culture,100.22,100.22,100.26,100.46,100.32,100.34,100.21,100.05,99.75,99.63,99.52,99.02,99.23,99.7,99.86,99.94,100.08,99.89,99.78,99.74,99.63,99.48,99.41,99.47,100.07,100.26,100.46,100.41,100.48,100.75,100.58,100.48,100.42,100.29,100.28,99.95,100.32,100.73,100.77,100.7,100.81,100.62,100.56,100.4,100.3,100.3,100.38,100.05,100.29,100.61,100.69,100.88,100.83,100.8,100.58,100.13,100.07,100.2,99.87,99.71,99.97,100.31,100.49,100.63,100.74,100.72,100.56,100.34,100.38,100.51,100.24,100.05,100.31,100.76,101.03,101.31,101.19,101.25,100.96,100.75,100.66,100.43,100.44,100.29,100.91,101.71,101.8,101.8,101.74,101.7,101.98,101.82,101.7,101.59,101.41,101.2,101.45,101.81,101.95,101.71,101.68,101.75,101.71,101.49,101.69,101.33,101.44,101.73,102.17,102.35,102.64,102.62,102.23,102.03,102.14,102.5,102.3,102.68,102.9,102.89,103.19,103.37,103.69,103.54,104.11,103.57,102.91,103.4,103.39,103.69,104.17,104.08,103.57,104.21,104.56,105.59,105.92,106.17,106.78,107.16,107.31
