Year,"Consumer Price Index, All items",Food and non-alcoholic beverages,"Alcoholic Beverages, Tobacco, and Narcotics",Clothing and footwear,"Housing, Water, Electricity, Gas and Other Fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services
Jan-96,14.28,14.41,14.1,30.07,9.07,37.36,18.35,13.13,13.07,4.03,12.27,21.17,21.19
Feb-96,15.29,15.54,15.21,36.56,9.24,43.97,21.37,12.7,12.64,3.85,13.52,23.48,23.51
Mar-96,16.36,17.08,16.72,36.43,9.6,44.92,21.82,13.03,12.96,4.01,12.92,23.78,23.8
Apr-96,17.3,18.32,17.93,44.14,13.28,21.48,21.12,12.98,12.91,4.03,12.96,24.46,24.49
May-96,18.82,19.73,19.31,42.04,13.58,51.58,21.34,12.84,12.78,4.29,14.04,26.83,26.86
Jun-96,23.28,23.54,23.04,51.07,15.29,58.43,22.77,22.76,22.64,3.88,23.75,31.48,31.51
Jul-96,24.39,25.19,24.66,44.88,15.53,82.82,24.98,20.75,20.64,5.28,19.36,31.47,31.5
Aug-96,27.51,30.74,30.08,44.34,17.39,57.07,26.39,18.17,18.08,6.9,22.7,33.45,33.49
Sep-96,26.44,27.6,27.01,44.29,18.08,58.47,30.8,21.95,21.84,7.09,31.14,35.37,35.41
Oct-96,27.59,28.52,27.91,50.8,19.39,59.62,35.1,23.18,23.06,6.64,23.09,40.14,40.18
Nov-96,28.66,30.49,29.84,46.91,21.25,57.86,29.75,23.55,23.43,5.86,22.07,35.16,35.2
Dec-96,28.49,30.11,29.47,46.8,20.9,58.96,30.52,23.6,23.48,3.43,24.72,36.75,36.79
Jan-97,28.36,27.41,26.82,50.76,22.11,59.77,31.9,31.09,30.94,4.56,43.36,37.73,37.77
Feb-97,29.52,28.95,28.33,55.31,22.16,61.03,29.06,31.48,31.32,3.4,36.91,42.18,42.22
Mar-97,30.69,30.15,29.51,54.4,22.1,63.46,32.04,32.82,32.65,5.98,46.54,42.2,42.24
Apr-97,30.44,29.4,28.77,57.58,22.93,63.4,33.19,33.62,33.46,5.16,48.19,41.23,41.27
May-97,31.05,29.94,29.31,62.98,24.12,66.19,32.86,34.3,34.13,6.41,47.07,40.11,40.15
Jun-97,32.32,32.5,31.81,63.52,21.55,65.92,30.68,32.87,32.7,8.16,46.46,43.55,43.59
Jul-97,34,34.82,34.08,65.66,24.48,67.08,32.55,31.77,31.61,7.84,35.95,45.87,45.92
Aug-97,36.13,37.4,36.61,69.68,27.31,68.54,33.39,31.92,31.76,8.44,37.06,47,47.05
Sep-97,35.13,35.6,34.84,70.47,26.92,69.15,32.44,32.14,31.98,8.43,37.65,49.16,49.21
Oct-97,33.79,33.35,32.64,72,26.92,70.39,33.42,31.96,31.8,8.38,38.14,49.66,49.71
