Year,"Consumer Price Index, All items",Food and non-alcoholic beverages,"Alcoholic Beverages, Tobacco, and Narcotics",Clothing and footwear,"Housing, Water, Electricity, Gas and Other Fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services
Jan-09,59.6,59.6,54.3,63.5,63.5,58.4,66.8,37.4,0,52,0,48.9,56.6
Feb-09,57.8,57.3,51.5,61.3,63.4,58.9,61.6,36.3,0,53.2,0,47,56.5
Mar-09,56,54.1,48.4,57.8,63.2,59.7,61.5,36.3,0,53,0,48.9,55.2
Apr-09,55.4,52.5,47.1,55.9,67.3,59.5,59.7,36.7,130.7,53,56.9,46.9,54.8
May-09,54.9,52.1,47.1,52.2,67.5,56.6,60.3,37.5,130.5,53.3,54.8,46.2,55.7
Jun-09,55.2,51.4,49.5,51.5,67.3,56.3,61.9,40.2,131.2,52.5,55.2,47.9,55.9
Jul-09,55.7,51.5,48.7,51.9,67.6,57.7,61.4,43.4,127.2,52.8,55.1,47.2,56
Aug-09,56,51.5,49.1,51.7,69.7,57.8,62.4,43.2,126.9,52.7,55.9,47.1,55.1
Sep-09,55.7,50.9,49,51.4,69.7,57.8,62.5,42.1,125.8,54.8,56.2,48.5,55.2
Oct-09,56.1,51.1,50.4,51.5,72.1,57.8,62.4,42.4,125.4,54.6,56.2,48.5,54.8
Nov-09,56.1,51.2,49.7,52.2,72.1,58.4,60.7,42.3,125.5,53.2,56.4,49,54.7
Dec-09,56.4,51.5,50.4,51.9,72.2,58,61.2,43.1,125,53.2,59,50,54.3
Jan-10,56.8,52.4,50.7,51.5,72.2,52.9,61.8,42.6,125,54.1,60.8,50.5,54.6
Feb-10,57.3,53.4,52.7,51.8,72.2,52.9,61.6,43.1,125,53.4,59.7,51,54.7
Mar-10,58,54.7,54.9,51.5,73.9,55.1,62.5,42,124.2,52.9,58.7,52.8,55.3
Apr-10,58,55.2,55.3,50.5,73.5,55.3,62.2,41.7,120.6,51.7,58.7,52.8,54.9
May-10,58.2,55.5,56,50.5,73.1,55.5,62.4,41.8,120.6,51.9,58.7,53,54.8
Jun-10,58.1,55.2,55.8,50.7,74,55.3,62.3,41.6,120.5,51.7,59.1,53,55
Jul-10,58.1,55.2,55.1,50.6,73.6,55.4,62.2,41.7,120.8,51.8,58.7,52.7,54.8
Aug-10,58,55.2,55.2,50.5,73.6,55.4,62,41.6,120.6,51.6,58.7,53,54.8
Sep-10,58,55.2,55.1,50.5,73.1,55.4,62.3,41.7,120.5,51.6,58.7,53,54.9
Oct-10,58.2,55.4,55.9,50.5,73.9,55.2,62.2,41.6,119.9,51.5,58.7,53.2,55.2
Nov-10,58.4,56.2,55.8,50.5,74,54.1,62.2,41.9,120.6,51.4,58.7,53.4,55.6
Dec-10,58.2,55.3,55.5,50.7,73.7,55.2,62.2,41.9,120.5,51.6,58.7,52.9,55.1
Jan-11,58.8,56,55.8,50.9,74.1,55.3,62.1,44,119.3,51.4,59.1,53.1,56.8
Feb-11,59.1,56.2,56.5,51.3,74.3,55.4,61.9,44.5,119.4,51.6,59.4,53.3,56.9
Mar-11,59.5,56.6,57.2,51.5,75.3,55.3,61.9,45.6,119,51.8,61.5,54.1,56.9
Apr-11,59.6,56.9,57.3,51.1,75.7,55,61.6,45.7,118.6,51.9,61.5,54.3,57.1
May-11,59.7,56.8,57.5,51.4,75.6,55,61.8,45.7,118.3,52.1,61.5,55,56.9
Jun-11,59.8,56.9,57.6,51.5,76.4,55.2,62.1,45.6,118.3,52.5,61.5,55,57.1
Jul-11,59.9,57.1,57.5,51.7,76.6,55.3,61.9,45.6,117.8,52.5,61.5,55.5,57.2
Aug-11,60,57.1,57.6,51.8,77.1,55.5,61.9,45.8,117.7,52.4,61.8,56,57.4
Sep-11,60.5,57.4,57.8,51.9,78.4,55.6,62,44.6,133.7,52.5,62,56.2,57.9
Oct-11,60.6,57.5,57.9,52,78.5,55.2,62.2,44.7,133.6,52.6,62,56,58.2
Nov-11,60.9,58.3,57.8,52.2,78.9,55.2,62.2,44.6,133.4,52.6,62,56.7,58.3
Dec-11,61,58.5,59.7,52.1,79.2,55.3,62.2,44.6,133.4,52.5,62,57.3,58.2
Jan-12,61.3,58.7,59.9,52.2,79.2,55.6,62.4,44.8,134,51.5,62.6,58.1,58.5
Feb-12,61.6,59,60.5,52.3,82.2,55.7,62.6,44.7,133.3,52.5,62.6,57.9,58.7
Mar-12,61.9,59.5,60.5,52.4,83.5,55.9,62.6,44.8,133.1,52.6,65.3,58,59
