Date,Index Reference Period,Consumer Price Index,Food and non-alcoholic beverages,"Alcoholic Beverages, Tobacco, and Narcotics",Clothing and footwear,"Housing, Water, Electricity, Gas and Other Fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services
01-Jan-1996,2007A,14.2769247,14.41015782,14.10236804,30.07435604,9.07136947,37.3610735,18.35147892,13.13222694,13.06689248,4.03377761,12.26598785,21.17367242,21.19471981
01-Feb-1996,2007A,15.29411808,15.5424373,15.21046291,36.55554477,9.244025989,43.97223649,21.37153935,12.69990004,12.63671646,3.853126214,13.52402644,23.48309675,23.50643979
01-Mar-1996,2007A,16.36367593,17.08123111,16.71638928,36.43056855,9.601142889,44.92368925,21.82381471,13.02820031,12.96338339,4.008360379,12.91800643,23.77794168,23.8015778
01-Apr-1996,2007A,17.29841176,18.31817908,17.92691701,44.14199196,13.28374837,21.48041459,21.12452608,12.97672767,12.91216684,4.03314743,12.95507324,24.46474777,24.4890666
01-May-1996,2007A,18.81752978,19.73251513,19.31104393,42.0356219,13.5792451,51.57655975,21.33625174,12.84242302,12.77853036,4.285429205,14.04318507,26.83321878,26.85989196
01-Jun-1996,2007A,23.27703496,23.54230536,23.03946,51.07361583,15.29200577,58.42701962,22.76732155,22.75598809,22.64277422,3.884215059,23.75156306,31.47848306,31.50977379
01-Jul-1996,2007A,24.3941587,25.19339725,24.65528586,44.87883094,15.52928344,82.82331108,24.98240521,20.74736574,20.64414501,5.284263373,19.35668989,31.46954836,31.50083022
01-Aug-1996,2007A,27.50686573,30.73820492,30.08166073,44.34247465,17.39169309,57.07465335,26.39478307,18.16854335,18.07815259,6.900043062,22.7020811,33.45227364,33.4855264
01-Sep-1996,2007A,26.44119721,27.59791158,27.00844163,44.28519388,18.08131883,58.47498327,30.800843,21.94691609,21.83772745,7.085735892,31.13745981,35.37245606,35.40761754
01-Oct-1996,2007A,27.5918792,28.51560872,27.90653747,50.79957943,19.38934701,59.61829061,35.09876911,23.17706886,23.06176006,6.644610392,23.08704001,40.14358299,40.18348715
01-Nov-1996,2007A,28.66196978,30.49334262,29.84202851,46.91294912,21.24955594,57.85823334,29.74972641,23.54570378,23.42856098,5.856046045,22.07283851,35.16268496,35.19763793
01-Dec-1996,2007A,28.4940013,30.10924023,29.46613025,46.79773667,20.90084179,58.95514107,30.51749397,23.59793337,23.48053072,3.43300669,24.72423187,36.75189521,36.78842791
01-Jan-1997,2007A,28.359058,27.40764858,26.82224249,50.75987344,22.1124384,59.77052306,31.90157187,31.09174381,30.93705851,4.560817553,43.36124509,37.73199237,37.76949932
01-Feb-1997,2007A,29.52415769,28.95073402,28.33236883,55.31304359,22.15945379,61.02852607,29.05550382,31.47735604,31.32075228,3.395405993,36.91362987,42.17758565,42.21951168
01-Mar-1997,2007A,30.69483157,30.14929561,29.50533007,54.39524946,22.09983428,63.45851036,32.04394515,32.81759106,32.65431946,5.982502022,46.53916577,42.19506657,42.23700998
01-Apr-1997,2007A,30.43792933,29.40088009,28.77290013,57.58019036,22.92630482,63.40116252,33.18869619,33.62482475,33.45753706,5.162008591,48.19355127,41.23128495,41.27227032
01-May-1997,2007A,31.04959004,29.94472711,29.30513099,62.97955367,24.11749475,66.19348087,32.8630719,34.30024091,34.12959295,6.408713279,47.06636299,40.10745575,40.14732399
01-Jun-1997,2007A,32.32380093,32.50493285,31.81065273,63.52176822,21.55345542,65.92342469,30.68240241,32.86809047,32.70456763,8.157040678,46.45699357,43.55119783,43.59448928
01-Jul-1997,2007A,33.99788981,34.81979945,34.07607557,65.66133509,24.47801276,67.07507353,32.55107353,31.76521352,31.60717763,7.841740975,35.94542694,45.86955686,45.91515284
01-Aug-1997,2007A,36.13078313,37.40456294,36.60563053,69.67749804,27.3063386,68.5410928,33.39011507,31.92017211,31.76136529,8.441251536,37.06413005,47.00465154,47.05137585
01-Sep-1997,2007A,35.12664823,35.60302499,34.84257203,70.47031595,26.91741129,69.14845853,32.43822305,32.14206676,31.98215598,8.425917173,37.65295641,49.16257453,49.21144388
01-Oct-1997,2007A,33.78716081,33.35110254,32.63874889,72.00452925,26.9150105,70.39082123,33.4171922,31.95542438,31.79644217,8.383485102,38.13906752,49.66485975,49.7142284
01-Nov-1997,2007A,36.47576996,37.61986056,36.81632955,72.44585153,26.84838869,73.47665624,33.7443887,32.39651028,32.23533361,8.62337335,30.04599857,50.63446835,50.68480082
01-Dec-1997,2007A,37.1188813,38.27290614,37.4554266,72.64958881,27.27232747,77.11720124,33.67608447,32.02992994,31.87057706,8.619802334,39.32542872,51.22881978,51.27974306
01-Jan-1998,2007A,36.82210675,37.84803311,37.03962852,74.60885145,26.580501,79.7520737,33.66909682,31.89238121,31.73371265,8.832802932,37.67662558,51.73537812,51.78680493
01-Feb-1998,2007A,35.62725255,35.66024694,34.89857177,73.73271606,25.54136084,95.69320852,33.9613551,32.34179357,32.18088912,8.966611001,39.71730975,50.66360323,50.71396466
01-Mar-1998,2007A,35.11397352,34.93948871,34.19320836,73.45086865,24.25954125,98.23163235,33.10309753,32.8911234,32.72748597,9.518648055,39.16019114,50.46626301,50.51642828
01-Apr-1998,2007A,35.63033391,35.36579229,34.61040643,70.359009,23.71216207,107.4573354,33.82998736,34.73635256,34.56353489,12.00995683,38.88576277,48.79508665,48.84359071
01-May-1998,2007A,39.05560702,39.97859732,39.12468553,70.40847875,24.12709789,106.0575268,33.10327222,38.26817569,38.07778676,12.01205743,43.09396213,49.28804872,49.3370428
01-Jun-1998,2007A,40.97468739,42.87450521,41.95873908,67.31141177,25.94309235,103.1119333,34.52648094,37.70511262,37.51752499,12.80377267,41.39938371,50.14772173,50.19757036
01-Jul-1998,2007A,43.37803137,46.4697131,45.47715612,68.62691668,25.46213491,105.7035342,34.92512612,37.72057604,37.53291148,12.1985905,40.85030368,53.66954527,53.72289472
01-Aug-1998,2007A,43.34859235,46.12208971,45.1369577,69.20623354,27.19070075,106.7587345,34.53032414,36.3310311,36.1502797,12.97791222,43.16809575,55.24321692,55.29813066
01-Sep-1998,2007A,43.13412329,45.18865653,44.22346193,72.48881211,27.05145517,105.2421448,38.21700595,37.86309901,37.67472538,10.92940942,45.65603787,57.70258874,57.75994717
01-Oct-1998,2007A,43.35411224,45.43280355,44.46239416,74.53334498,27.68706323,104.4100798,37.07871849,37.37832625,37.19236443,15.70112697,43.07587531,57.85991706,57.91743188
01-Nov-1998,2007A,48.94770186,52.43087524,51.31099247,75.61712315,37.77736624,106.1607529,38.5118846,36.99758013,36.81351256,14.48677149,44.41318328,58.12174245,58.17951755
01-Dec-1998,2007A,46.90292383,48.77743623,47.73558808,77.76254829,37.74895694,105.3245172,39.18479487,38.15787718,37.968037,15.7072187,45.69533762,58.4185297,58.47659981
01-Jan-1999,2007A,42.77032093,41.98851857,41.09167643,82.06511508,38.65465342,107.1961421,40.15904736,37.18887234,37.00385308,15.71961223,45.1310736,58.67103194,58.72935305
01-Feb-1999,2007A,43.20634267,42.57790473,41.66847376,82.19334589,37.60030828,107.6351137,38.75470528,38.67801034,38.48558243,15.48140446,44.29483744,59.28752587,59.34645979
01-Mar-1999,2007A,44.16406263,43.23524197,42.31177078,86.53757142,39.68278998,105.1978306,40.93118219,38.8944982,38.70099324,15.6952453,46.22186495,63.06457091,63.12725935
01-Apr-1999,2007A,44.55370007,44.35774603,43.41029903,81.78977684,37.25299459,104.3313569,41.19356829,39.37245841,39.17657553,15.69335476,46.27478564,62.83188039,62.89433752
